CorrelationId,TimeGenerated,OperationName,ResultType,Status,IPAddress,UserId,UserAgent
f72e8069-66a7-4fa6-ac31-ea195f380194,2021-05-25 10:26:34.040000+00:00,Sign-in activity,0,"{""errorCode"":0}",120.178.147.185,d6b00600-9c79-4973-8729-88b36fb0eae0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36 Edg/90.0.818.66"
cf7a7fa8-41e5-4a6a-ad73-e4d426132ec5,2021-05-25 14:49:19.853000+00:00,Sign-in activity,0,"{""errorCode"":0}",219.118.57.219,e412bbee-078f-48e0-a0b5-db50b31971f3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
139ace4e-536d-4a40-a869-25abdc73f0f2,2021-05-25 11:38:41.066000+00:00,Sign-in activity,0,"{""errorCode"":0}",43.235.203.45,349152b0-8062-41ad-95c0-a972584c87c2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
d66d457e-9b3e-47e5-b909-8cfb16a42d94,2021-03-30 16:12:53.011000+00:00,Sign-in activity,0,"{""errorCode"":0}",6.169.63.88,62494e0c-b59e-4d28-9ea2-baad5ea243ee,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
89c81206-444b-4659-88b9-ab12cfb7270f,2021-03-31 15:49:25.453000+00:00,Sign-in activity,50126,"{""errorCode"":50126,""failureReason"":""Invalid username or password or Invalid on-premise username or password.""}",128.99.196.232,a758febb-e5a2-4103-8996-f880d2309ab3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
98c75493-93e0-4284-b49e-09c147866c21,2021-03-31 08:48:17.273000+00:00,Sign-in activity,0,"{""errorCode"":0}",186.179.219.143,7ec33e2a-379a-4c57-9c8c-bf94ca777dc3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
dc4d8b59-8c6b-41e0-894e-46fa20266ad7,2021-04-02 23:47:43.125000+00:00,Sign-in activity,0,"{""errorCode"":0}",51.254.48.93,8822e7a5-05f9-498e-8bc2-a0ac399e59ea,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36"
743161df-e0fb-4484-96e2-3b72d361dc66,2021-04-05 03:29:48.646000+00:00,Sign-in activity,0,"{""errorCode"":0}",147.119.244.198,701106c7-7780-49c5-afb5-0c8081b23c17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.152 Safari/537.36"
d546d440-e425-41d8-8ce1-8db7234d307d,2021-04-12 12:52:45.882000+00:00,Sign-in activity,0,"{""errorCode"":0}",52.213.33.114,57ed71c1-9e6d-42e6-8004-0fc155f49ed6,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0
7011f650-7995-43cf-b0ea-7fd0bba407e7,2021-04-13 06:37:03.064000+00:00,Sign-in activity,0,"{""errorCode"":0}",137.206.210.104,7a3c3e64-d990-49f0-a343-fb0d0188c814,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36"
